timestamp,pod_name,cpu(m),memory(Mi),node
2026-03-31 19:05:49,load-generator,807m,5Mi,minikube
2026-03-31 19:05:49,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:05:49,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:05:49,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:05:57,load-generator,807m,5Mi,minikube
2026-03-31 19:05:57,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:05:57,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:05:57,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:06:06,load-generator,807m,5Mi,minikube
2026-03-31 19:06:06,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:06:06,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:06:06,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:06:14,load-generator,807m,5Mi,minikube
2026-03-31 19:06:14,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:06:14,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:06:14,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:06:22,load-generator,807m,5Mi,minikube
2026-03-31 19:06:22,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:06:22,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:06:22,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:06:29,load-generator,807m,5Mi,minikube
2026-03-31 19:06:29,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:06:29,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:06:29,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:06:40,load-generator,807m,5Mi,minikube
2026-03-31 19:06:40,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:06:40,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:06:40,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:06:48,load-generator,811m,6Mi,minikube
2026-03-31 19:06:48,nginx-deployment-65f54b4ccf-cdpps,34m,13Mi,minikube
2026-03-31 19:06:48,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 19:06:48,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:06:55,load-generator,811m,6Mi,minikube
2026-03-31 19:06:55,nginx-deployment-65f54b4ccf-cdpps,34m,13Mi,minikube
2026-03-31 19:06:55,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 19:06:55,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:07:03,load-generator,811m,6Mi,minikube
2026-03-31 19:07:03,nginx-deployment-65f54b4ccf-cdpps,34m,13Mi,minikube
2026-03-31 19:07:03,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 19:07:03,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
